,open,close,low,high,volume,money,factor,pre_close
2013-03-25,1913.79,1901.93,1898.27,1927.37,2362514800.0,24746440030.0,1.0,1904.46
2013-03-26,1891.31,1861.26,1852.16,1894.66,2840663900.0,28163692124.0,1.0,1901.93
2013-03-27,1863.52,1868.44,1854.82,1891.28,2394241000.0,23231255716.0,1.0,1861.26
2013-03-28,1816.85,1791.64,1782.23,1816.85,4497912900.0,41471507579.0,1.0,1868.44
2013-03-29,1791.57,1793.19,1774.92,1797.38,2579377900.0,24295416144.0,1.0,1791.64
2013-04-01,1781.79,1784.07,1779.1,1796.29,1772571800.0,16937451986.0,1.0,1793.19
2013-04-02,1785.57,1783.22,1771.37,1805.74,2204660400.0,21155916242.0,1.0,1784.07
2013-04-03,1787.98,1789.67,1782.79,1805.01,1875024000.0,17034243677.0,1.0,1783.22
2013-04-08,1755.76,1773.1,1747.66,1775.34,1958265400.0,18943130094.0,1.0,1789.67
2013-04-09,1776.83,1788.63,1776.83,1800.57,1977779400.0,21114249103.0,1.0,1773.1
2013-04-10,1787.74,1787.93,1775.61,1794.22,1721520100.0,17613418015.0,1.0,1788.63
2013-04-11,1802.51,1784.13,1782.9,1808.29,1619332600.0,15638172984.0,1.0,1787.93
2013-04-12,1783.09,1774.51,1773.5,1794.34,1435489500.0,14095809180.0,1.0,1784.13
2013-04-15,1768.21,1759.8,1754.7,1777.13,1743301500.0,15508401189.0,1.0,1774.51
2013-04-16,1746.31,1772.64,1739.22,1774.07,2237994300.0,22179049754.0,1.0,1759.8
2013-04-17,1769.81,1761.62,1747.41,1774.49,1651113500.0,17368577029.0,1.0,1772.64
2013-04-18,1745.94,1768.15,1740.26,1772.61,1753774400.0,18038752316.0,1.0,1761.62
2013-04-19,1772.64,1827.98,1771.5,1836.61,3305717000.0,33651064369.0,1.0,1768.15
2013-04-22,1820.03,1823.95,1814.87,1830.99,2162122900.0,22455788321.0,1.0,1827.98
2013-04-23,1828.09,1760.68,1759.41,1828.09,2322778800.0,23725577059.0,1.0,1823.95
2013-04-24,1764.03,1793.88,1755.44,1809.13,2239229100.0,21622750877.0,1.0,1760.68
2013-04-25,1786.86,1778.29,1762.17,1800.56,2058464500.0,20117620592.0,1.0,1793.88
2013-04-26,1786.64,1766.04,1760.22,1793.95,1671403300.0,15795388917.0,1.0,1778.29
2013-05-02,1758.38,1763.05,1745.57,1766.14,1792622200.0,16995491392.0,1.0,1766.04
2013-05-03,1770.69,1795.49,1770.32,1821.38,2456165300.0,23916880535.0,1.0,1763.05
2013-05-06,1804.89,1816.6,1801.36,1826.19,2199726600.0,21128847009.0,1.0,1795.49
2013-05-07,1812.03,1817.92,1800.27,1824.51,1938204200.0,21035612216.0,1.0,1816.6
2013-05-08,1826.43,1824.38,1814.96,1842.13,2114642000.0,21662568694.0,1.0,1817.92
2013-05-09,1825.38,1807.86,1794.42,1826.97,1944205300.0,20409966788.0,1.0,1824.38
2013-05-10,1804.17,1819.12,1798.99,1823.47,1632228400.0,16507762194.0,1.0,1807.86
2013-05-13,1819.56,1810.72,1800.31,1823.04,1736063800.0,18035135433.0,1.0,1819.12
2013-05-14,1806.17,1785.58,1776.69,1807.04,1831264200.0,19248866737.0,1.0,1810.72
2013-05-15,1787.84,1789.43,1781.22,1795.38,1243394600.0,13780608939.0,1.0,1785.58
2013-05-16,1785.71,1821.45,1770.41,1822.67,2440490400.0,25121620768.0,1.0,1789.43
2013-05-17,1819.52,1843.81,1810.32,1849.88,2756330000.0,27555413537.0,1.0,1821.45
2013-05-20,1848.32,1861.25,1841.41,1877.27,2965570700.0,29995682402.0,1.0,1843.81
2013-05-21,1858.14,1851.08,1840.2,1863.03,1978147300.0,20626739314.0,1.0,1861.25
2013-05-22,1850.75,1858.2,1847.47,1862.73,1913382700.0,21001127122.0,1.0,1851.08
2013-05-23,1849.26,1823.74,1822.37,1855.03,2047173700.0,21947539161.0,1.0,1858.2
2013-05-24,1831.72,1829.14,1814.57,1842.86,1619764400.0,16997014793.0,1.0,1823.74
2013-05-27,1825.22,1827.26,1821.16,1838.85,1787880800.0,18353927189.0,1.0,1829.14
2013-05-28,1827.6,1870.09,1821.24,1870.25,3070059700.0,29822925668.0,1.0,1827.26
2013-05-29,1873.09,1861.7,1860.4,1882.75,2600340300.0,25979174705.0,1.0,1870.09
2013-05-30,1855.76,1855.46,1848.56,1866.9,2055181000.0,20524560398.0,1.0,1861.7
2013-05-31,1859.24,1841.37,1839.35,1865.55,1744705500.0,17945419919.0,1.0,1855.46
2013-06-03,1840.4,1838.64,1833.84,1854.38,1708802000.0,17682929571.0,1.0,1841.37
2013-06-04,1837.64,1819.5,1815.69,1837.64,1849295000.0,18052363367.0,1.0,1838.64
2013-06-05,1818.81,1806.82,1799.74,1820.12,1381532200.0,13887115124.0,1.0,1819.5
2013-06-06,1801.49,1784.7,1782.48,1803.81,1497873300.0,15526725316.0,1.0,1806.82
2013-06-07,1783.86,1760.22,1755.6,1793.13,1988684100.0,19829006251.0,1.0,1784.7
2013-06-13,1733.14,1700.8,1679.66,1733.14,2537067200.0,23937688880.0,1.0,1760.22
2013-06-14,1703.08,1704.15,1692.31,1706.96,1827829800.0,16443113513.0,1.0,1700.8
2013-06-17,1709.48,1692.48,1689.49,1712.94,1464507300.0,13951434642.0,1.0,1704.15
2013-06-18,1701.23,1704.22,1690.12,1711.06,1400800100.0,14866496703.0,1.0,1692.48
2013-06-19,1697.6,1687.61,1668.07,1697.6,1587833900.0,16565166598.0,1.0,1704.22
2013-06-20,1677.93,1631.55,1629.75,1677.93,1864144800.0,17141967052.0,1.0,1687.61
2013-06-21,1606.97,1633.16,1598.47,1645.93,2118709000.0,19601008078.0,1.0,1631.55
2013-06-24,1625.44,1525.17,1524.28,1625.44,3327422000.0,28395314535.0,1.0,1633.16
2013-06-25,1508.52,1526.8,1422.98,1529.38,4051710900.0,32359445907.0,1.0,1525.17
2013-06-26,1529.05,1509.68,1487.31,1529.05,2854515300.0,22556296672.0,1.0,1526.8
2013-06-27,1511.49,1512.2,1498.28,1530.16,2649866000.0,20538146160.0,1.0,1509.68
2013-06-28,1504.43,1552.38,1497.44,1562.39,3111516100.0,23358146160.0,1.0,1512.2
2013-07-01,1539.78,1549.37,1520.7,1551.12,2065095000.0,16582647265.0,1.0,1552.38
2013-07-02,1546.85,1541.34,1519.44,1551.27,2216232200.0,18004113573.0,1.0,1549.37
2013-07-03,1530.66,1522.91,1501.08,1530.66,2290312000.0,19222627563.0,1.0,1541.34
2013-07-04,1511.52,1535.32,1503.45,1550.08,2366168000.0,21089101498.0,1.0,1522.91
2013-07-05,1538.39,1542.05,1535.71,1556.59,2056604700.0,18309018256.0,1.0,1535.32
2013-07-08,1518.88,1506.73,1502.24,1528.96,1932146100.0,16247602448.0,1.0,1542.05
2013-07-09,1505.91,1505.3,1497.51,1513.33,1561524100.0,12508500598.0,1.0,1506.73
2013-07-10,1505.71,1546.74,1500.77,1547.32,2356141100.0,20332972238.0,1.0,1505.3
2013-07-11,1555.28,1635.66,1555.28,1653.59,5367500700.0,48441615814.0,1.0,1546.74
2013-07-12,1626.55,1587.59,1585.51,1634.35,3433176000.0,31344718018.0,1.0,1635.66
2013-07-15,1599.04,1604.66,1582.83,1631.99,2800125300.0,25593903533.0,1.0,1587.59
2013-07-16,1597.33,1606.34,1579.45,1606.74,2124440800.0,18792151122.0,1.0,1604.66
2013-07-17,1602.48,1582.14,1581.74,1612.57,2229715500.0,19368122893.0,1.0,1606.34
2013-07-18,1575.67,1549.35,1547.09,1583.31,2054031100.0,17453867654.0,1.0,1582.14
2013-07-19,1551.3,1511.4,1508.28,1557.7,2413940100.0,20924036593.0,1.0,1549.35
2013-07-22,1493.99,1514.05,1485.06,1515.15,1973065600.0,15898461419.0,1.0,1511.4
2013-07-23,1520.58,1555.84,1514.21,1569.73,2684214900.0,22712408968.0,1.0,1514.05
2013-07-24,1541.93,1532.35,1512.97,1550.85,2208138700.0,18813234433.0,1.0,1555.84
2013-07-25,1537.73,1529.3,1522.23,1548.2,1874865400.0,15998243216.0,1.0,1532.35
2013-07-26,1521.59,1521.61,1512.61,1529.1,1309346200.0,11589676569.0,1.0,1529.3
2013-07-29,1505.68,1484.21,1478.2,1505.68,1889147600.0,15319836604.0,1.0,1521.61
2013-07-30,1490.82,1500.94,1483.57,1524.43,1885554300.0,16009595753.0,1.0,1484.21
2013-07-31,1518.83,1504.17,1499.55,1535.85,1587620300.0,13645499717.0,1.0,1500.94
2013-08-01,1513.8,1537.81,1508.81,1541.16,2012716100.0,17525297011.0,1.0,1504.17
2013-08-02,1550.89,1536.51,1533.94,1558.83,1810710400.0,16095964973.0,1.0,1537.81
2013-08-05,1540.49,1554.19,1533.0,1554.29,1532522700.0,14137677651.0,1.0,1536.51
2013-08-06,1547.61,1556.3,1533.24,1564.48,1947581600.0,18348103295.0,1.0,1554.19
2013-08-07,1554.88,1551.15,1548.49,1575.69,2155289100.0,19963862907.0,1.0,1556.3
2013-08-08,1548.41,1544.62,1538.61,1561.34,1508555200.0,14205110486.0,1.0,1551.15
2013-08-09,1554.76,1553.04,1533.22,1562.25,2172050800.0,20827749690.0,1.0,1544.62
2013-08-12,1560.16,1610.27,1557.56,1610.81,3680635100.0,36228735036.0,1.0,1553.04
2013-08-13,1610.79,1619.74,1602.93,1621.89,2635371400.0,25112860956.0,1.0,1610.27
2013-08-14,1622.21,1610.22,1605.28,1643.0,2369756200.0,22843741325.0,1.0,1619.74
2013-08-15,1608.62,1595.15,1593.69,1624.34,1952046700.0,18182924205.0,1.0,1610.22
2013-08-16,1590.91,1592.79,1573.72,1711.43,5275540100.0,45013980199.0,1.0,1595.15
2013-08-19,1576.57,1608.87,1574.02,1617.34,2677363800.0,24981563930.0,1.0,1592.79
2013-08-20,1603.39,1594.54,1588.22,1628.68,2738604800.0,25162747910.0,1.0,1608.87
2013-08-21,1601.3,1588.08,1575.46,1602.94,1837062300.0,17500234032.0,1.0,1594.54
2013-08-22,1582.33,1582.62,1578.31,1606.35,1775503300.0,16073233972.0,1.0,1588.08
2013-08-23,1591.75,1566.29,1543.0,1595.94,2110677700.0,19176010076.0,1.0,1582.62
2013-08-26,1573.22,1601.38,1566.02,1604.25,2302602900.0,21358939823.0,1.0,1566.29
2013-08-27,1598.74,1602.0,1589.05,1609.06,1921516700.0,19375463661.0,1.0,1601.38
2013-08-28,1591.35,1592.87,1577.49,1603.95,2795586500.0,27218013113.0,1.0,1602.0
2013-08-29,1604.28,1588.15,1580.81,1607.02,2059721900.0,19461085762.0,1.0,1592.87
2013-08-30,1586.52,1589.78,1575.77,1599.87,2361524900.0,23223392347.0,1.0,1588.15
2013-09-02,1594.99,1591.93,1579.72,1601.14,2475917300.0,25779244837.0,1.0,1589.78
